Data,Tipo,Categoria,Subcategoria,Descrição,Valor,Centro de Custo,Forma de Pagamento,Status
01/01/2024,Receita,Vendas,Produto A,Venda Online Site,1500.00,Vendas,Cartão de Crédito,Paga
02/01/2024,Despesa,Operacionais,Aluguel,Aluguel Escritório Jan, -800.00,Administrativo,Boleto,Paga
03/01/2024,Receita,Serviços,Consultoria,Consultoria Projeto Alpha,2500.00,Serviços,PIX,Paga
04/01/2024,Despesa,Pessoal,Salários,Salário Funcionário 1 Jan, -1200.00,Administrativo,PIX,Paga
05/01/2024,Receita,Vendas,Produto B,Venda Loja Física,800.00,Vendas,Dinheiro,Paga
06/01/2024,Despesa,Marketing,Mídias Digitais,Campanha Facebook Jan, -350.00,Marketing,Cartão de Crédito,Paga
07/01/2024,Receita,Serviços,Manutenção,Manutenção Sistema Interno,600.00,Serviços,Boleto,Paga
08/01/2024,Despesa,Operacionais,Material Escritório,Compras Papelaria, -150.00,Administrativo,PIX,Paga
09/01/2024,Receita,Vendas,Produto C,Venda Online Marketplace,2000.00,Vendas,Cartão de Crédito,Paga
10/01/2024,Despesa,Operacionais,Transporte,Combustível Entregas, -100.00,Produção,Dinheiro,Paga
11/01/2024,Receita,Vendas,Produto A,Venda Loja Física,1200.00,Vendas,PIX,Paga
12/01/2024,Despesa,Operacionais,Contas Consumo,Conta de Luz Jan, -250.00,Administrativo,Boleto,Paga
13/01/2024,Receita,Serviços,Treinamento,Treinamento Equipe Interna,1800.00,Serviços,PIX,Paga
14/01/2024,Despesa,Marketing,Google Ads,Campanha Google Jan, -200.00,Marketing,Cartão de Crédito,Paga
15/01/2024,Despesa,Pessoal,Salários,Salário Funcionário 2 Jan, -1100.00,Administrativo,PIX,Paga
16/01/2024,Receita,Vendas,Produto B,Venda Online Site,950.00,Vendas,Cartão de Crédito,Paga
17/01/2024,Despesa,Operacionais,Aluguel,Aluguel Escritório Fev, -800.00,Administrativo,Boleto,Paga
18/01/2024,Receita,Serviços,Consultoria,Consultoria Projeto Beta,3000.00,Serviços,PIX,Paga
19/01/2024,Despesa,Marketing,Designer,Contratação Designer Freelancer, -400.00,Marketing,PIX,Paga
20/01/2024,Receita,Vendas,Produto C,Venda Loja Física,1700.00,Vendas,Dinheiro,Paga
21/01/2024,Despesa,Pessoal,Salários,Salário Funcionário 1 Fev, -1200.00,Administrativo,PIX,Paga
22/01/2024,Receita,Serviços,Suporte,Suporte Técnico Cliente VIP,750.00,Serviços,Boleto,Paga
23/01/2024,Despesa,Operacionais,Material Escritório,Suprimentos Impressão, -80.00,Administrativo,PIX,Paga
24/01/2024,Receita,Vendas,Produto A,Venda Online Marketplace,1100.00,Vendas,Cartão de Crédito,Paga
